persona,ticker,date,verdict,conviction,price_at_call,sector,rsi_14,off_52w_high_pct,trend_template
minervini,6173.TWO,2026-06-11,SELL,0.8,240.5,Technology,70.78704622504135,0.0,1
minervini,183300.KS,2026-06-11,SELL,0.8,107100.0,Unknown,63.04648807921012,-1.3812154696132597,1
minervini,085620.KS,2026-06-11,SELL,0.8,29350.0,Financial Services,80.68300748069501,0.0,1
minervini,2442.HK,2026-06-11,SELL,0.8,58.0,Industrials,71.48535839318347,0.0,1
minervini,VELO,2026-06-11,SELL,0.8,,Technology,52.07510474378189,-100.0,0
minervini,3236.TWO,2026-06-11,SELL,0.8,57.5,Technology,64.01290757664532,-1.3722114022807703,1
minervini,9444.T,2026-06-11,SELL,0.8,281.0,Consumer Cyclical,59.42004522756,-55.678233438485805,0
minervini,6155.TW,2026-06-11,SELL,0.8,84.0999984741211,Technology,71.37632900337123,0.0,1
minervini,8042.TWO,2026-06-11,SELL,0.8,144.5,Technology,61.39919695012631,-13.715300413959094,1
minervini,688368.SS,2026-06-11,SELL,0.8,194.57000732421875,Technology,70.9914884894745,0.0,1
qullamaggie,300666.SZ,2026-06-11,PASS,0.0,292.3999938964844,Technology,75.31270561168444,0.0,1
qullamaggie,036930.KS,2026-06-11,PASS,0.0,199000.0,Unknown,55.2091342289288,-20.55888223552894,1
qullamaggie,388790.KS,2026-06-11,PASS,0.0,7080.0,Unknown,61.90242923440604,-15.714285714285714,1
qullamaggie,688456.SS,2026-06-11,PASS,0.0,130.58999633789062,Basic Materials,79.64525953215136,0.0,1
qullamaggie,4179.T,2026-06-11,PASS,0.0,420.0,Technology,62.3884960247548,-12.133891213389122,0
qullamaggie,131290.KS,2026-06-11,PASS,0.0,207500.0,Unknown,53.932920320774116,-14.959016393442623,1
qullamaggie,5345.TWO,2026-06-11,PASS,0.0,35.349998474121094,Technology,82.50615421760085,0.0,0
qullamaggie,4807.TW,2026-06-11,PASS,0.0,37.29999923706055,Consumer Cyclical,74.687097814151,-3.116885098544034,1
qullamaggie,2243.TW,2026-06-11,PASS,0.0,33.79999923706055,Consumer Cyclical,71.79622173081945,0.0,1
qullamaggie,9331.T,2026-06-11,PASS,0.0,1123.0,Industrials,68.07652328478441,-2.2628372497824194,0
lynch,300489.SZ,2026-06-11,SELL,0.8,171.4199981689453,Basic Materials,73.33378004921883,0.0,1
lynch,SIGMAADV.NS,2026-06-11,SELL,0.8,482.25,Industrials,75.71174968173082,0.0,1
lynch,1888.HK,2026-06-11,SELL,0.8,63.75,Technology,69.45330994323956,0.0,1
lynch,688268.SS,2026-06-11,SELL,0.8,223.47000122070312,Basic Materials,67.60462820736893,0.0,1
lynch,688545.SS,2026-06-11,SELL,0.8,104.5199966430664,Basic Materials,71.04538874705653,0.0,1
lynch,688141.SS,2026-06-11,SELL,0.8,121.61000061035156,Technology,66.87292779965597,0.0,1
lynch,300334.SZ,2026-06-11,SELL,0.8,12.729999542236328,Industrials,85.1245978298031,0.0,1
lynch,300706.SZ,2026-06-11,SELL,0.8,64.0199966430664,Basic Materials,70.8149713488774,0.0,1
lynch,688020.SS,2026-06-11,SELL,0.8,184.0,Technology,65.18558862098621,0.0,1
lynch,688530.SS,2026-06-11,SELL,0.8,62.97999954223633,Technology,67.19643148621739,0.0,1
buffett,285A.T,2026-06-11,AVOID,0.9,75580.0,Technology,65.95070349585109,-3.2761709751727666,1
buffett,3436.T,2026-06-11,AVOID,0.9,3381.0,Technology,49.703409593441016,-24.175824175824175,1
buffett,1396.HK,2026-06-11,AVOID,0.9,13.399999618530273,Real Estate,49.79533650915166,-29.47368621826172,1
buffett,6278.T,2026-06-11,AVOID,0.9,23760.0,Industrials,64.725545257678,0.0,1
buffett,6072.T,2026-06-11,AVOID,0.9,1500.0,Industrials,56.116523552128044,-19.957310565635005,1
buffett,4004.T,2026-06-11,AVOID,0.9,16250.0,Basic Materials,47.58542486410258,-16.452442159383033,1
buffett,2768.HK,2026-06-11,AVOID,0.9,67.0999984741211,Basic Materials,50.0,0.0,0
buffett,1109.HK,2026-06-11,AVOID,0.9,37.47999954223633,Real Estate,65.67007391916079,-2.3958384038671494,1
buffett,7729.T,2026-06-11,AVOID,0.9,17705.0,Technology,53.315459295832234,-6.742164867000263,1
buffett,0921.HK,2026-06-11,AVOID,0.9,26.940000534057617,Consumer Cyclical,74.54960554583671,0.0,0
david-ryan,1714.TW,2026-06-11,SELL,0.8,14.399999618530273,Basic Materials,75.76987756375743,0.0,1
david-ryan,6241.TWO,2026-06-11,SELL,0.8,12.649999618530273,Technology,72.63424746720771,-9.318997910461944,0
david-ryan,2483.TW,2026-06-11,SELL,0.8,34.650001525878906,Industrials,77.13420447342222,0.0,1
david-ryan,8182.TWO,2026-06-11,SELL,0.8,53.400001525878906,Technology,69.01185563546187,0.0,1
david-ryan,007810.KS,2026-06-11,SELL,0.8,135200.0,Technology,65.43450606638929,0.0,1
david-ryan,5227.TWO,2026-06-11,SELL,0.8,28.100000381469727,Industrials,65.93313163924678,-17.352940054500802,0
david-ryan,170920.KS,2026-06-11,SELL,0.8,50100.0,Unknown,61.07217524421366,-1.7647058823529411,1
david-ryan,4556.TWO,2026-06-11,SELL,0.8,60.79999923706055,Industrials,83.98312479854987,0.0,1
david-ryan,UNICHEMLAB.BO,2026-06-11,SELL,0.8,494.5,Healthcare,80.81002488837439,-23.711818777001252,0
david-ryan,UNICHEMLAB.NS,2026-06-11,SELL,0.8,494.25,Healthcare,80.98540046643379,-23.673846140505372,0
